Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;UF Declarante;Descrição;Município;Área;uni_sigla;dec_latitude;dec_longitude
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Indaial;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;Calmon;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;São Domingos;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;Santa Cecília;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;Bom Retiro;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;São Joaquim;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Descanso;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Nova Erechim;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Abelardo Luz;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Água Doce;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Ouro;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Tangará;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Calmon;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Curitibanos;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Campo Belo do Sul;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Santa Cecília;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Vítor Meireles;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Itaiópolis;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Corupá;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Joinville;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Brusque;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;LAURO MULLER;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de triagem instaladas no Estado, o PERS-SC indica mais 6 (seis) locais (municípios) para instalação de novas unidades de triagem.;São Martinho;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Campo Erê;0;M²;;
137;2019;2018;;04/10/2019;SANTA CATARINA;SC;Considerando a configuração espacial atual das unidades de compostagem instaladas no Estado, o PERS-SC indica mais 19 (seis) locais (municípios) para instalação de novas unidades de compostagem.;Laguna;0;M²;;
