Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Possui Plano Diretor;Possui Zoneamento Ambiental;Descrição Área Favorável;Área Favorável Estimada;Unidade Área Favorável Estimada;Logradouro;Número;Complemento;Bairro;Cidade;UF;CEP;Latitude;Longitude
204;2019;2018;;17/12/2019;Irará;Irará;BA;Não;Não;VAZADOURO A CÉU ABERTO;5794.3;M²;FAZENDA QUEBRA FOGO;;;ZONA RURAL;Irará;BA;;-12.026.438;-38.794.761
71;2019;2018;;13/08/2019;IMPERATRIZ;Imperatriz;MA;Não;Não;;;;;;;;;;;;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;Sim;Sim;;;;;;;;;;;;
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;Não;Não;Tem-se a previsão de construção de um Aterro Sanitário de Pequeno Porte conjugado com um Aterro de Resíduos da Construção e Demolição – RCD – Classe A, a serem disponibilizados ao Consórcio UTC. ;10;HEC;Picada- Distrito de Hermílio Alves;S/N;Área 1;Zona Rural;Carandaí;MG;;-21.039.943;-43.784.396
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;Não;Não;Tem-se a previsão de construção de um Aterro Sanitário de Pequeno Porte conjugado com um Aterro de Resíduos da Construção e Demolição – RCD – Classe A, a serem disponibilizados ao Consórcio UTC. ;10;HEC;Picada- Distrito de Hermílio Alves;S/N;Área 1;Zona Rural;Carandaí;MG;;-21.039.943;-43.784.396
91;2019;2018;;01/10/2019;Cordislândia;Cordislândia;MG;Não;Não;;;;;;;;;;;;
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;Não;Não;;;;;;;;;;;;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;Não;Não;Tem-se a previsão de construção de um Aterro Sanitário de Pequeno Porte conjugado com um Aterro de Resíduos da Construção e Demolição – RCD – Classe A, a serem disponibilizados ao Consórcio UTC.;10;HEC;Picada- Distrito de Hermílio Alves;s/n;Área 1;Zona Rural;Carandaí;MG;;-21.039.943;-43.784.396
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;Não;Não;Tem-se a previsão de construção de um Aterro Sanitário de Pequeno Porte conjugado com um Aterro de Resíduos da Construção e Demolição – RCD – Classe A, a serem disponibilizados ao Consórcio UTC. ;;HEC;Picada- Distrito de Hermílio Alves;S/N;;Zona Rural;Carandaí;MG;;-21.039.943;-43.784.396
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;Não;Não;Tem-se a previsão de construção de um Aterro Sanitário de Pequeno Porte conjugado com um Aterro de Resíduos da Construção e Demolição – RCD – Classe A, a serem disponibilizados ao Consórcio UTC. ;;HEC;Picada- Distrito de Hermílio Alves;S/N;;Zona Rural;Carandaí;MG;;-21.039.943;-43.784.396
109;2019;2018;;25/09/2019;Guarabira;Guarabira;PB;Não;Não;;;;;;;;;;;;
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;Sim;Sim;;;;;;;;;;;;
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;Sim;Sim;;;;;;;;;;;;
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;Sim;Sim;;;;;;;;;;;;
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;Sim;Sim;;;;;;;;;;;;
227;2019;2018;;19/12/2019;São Fidélis;São Fidélis;RJ;Sim;Não;Finalização do Aterro Sanitário em construção na RJ 234 que liga o Distrito de Pureza em São Fidélis a BR 356.;169475;M²;RJ - 234 que liga o distrito de Pureza, em São Fidélis à BR - 356;;Zona Rural;;São Fidélis;RJ;;-21.547.575;-41.844.773
86;2019;2018;;19/09/2019;Ibirubá;Ibirubá;RS;Sim;Não;Aterro Sanitário Municipal;122818;M²;Linha Duas ;Interior;Área Rural;Linha Duas;Ibirubá;RS;;-286.081.484;-5.312.791.613
224;2019;2018;;09/12/2019;Ascurra;Ascurra;SC;Sim;Sim;;;;;;;;;;;;
238;2019;2018;;28/12/2019;Balneário Piçarras;Balneário Piçarras;SC;Sim;Sim;;;;;;;;;;;;
176;2019;2018;;30/10/2019;BLUMENAU;Blumenau;SC;Sim;Sim;;;;;;;;;;;;
149;2019;2018;;06/11/2019;Bom Retiro;Bom Retiro;SC;Sim;Não;;;;;;;;;;;;
187;2019;2018;;30/10/2019;Brunópolis;Brunópolis;SC;Sim;Não;;;;;;;;;;;;
124;2019;2018;;03/10/2019;Chapecó;Chapecó;SC;Não;Não;;;;;;;;;;;;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;Sim;Sim;;;;;;;;;;;;
150;2019;2018;;15/10/2019;Galvão;Galvão;SC;Não;Não;;;;;;;;;;;;
119;2019;2018;;15/10/2019;Garuva;Garuva;SC;Sim;Não;;;;;;;;;;;;
199;2019;2018;;18/12/2019;Gaspar;Gaspar;SC;Sim;Sim;;;;;;;;;;;;
145;2019;2018;;05/12/2019;Guabiruba;Guabiruba;SC;Sim;Sim;;;;;;;;;;;;
115;2019;2018;;15/10/2019;Ibicaré;Ibicaré;SC;Sim;Não;;;;;;;;;;;;
120;2019;2018;;05/11/2019;Irineópolis;Irineópolis;SC;Não;Não;;;;;;;;;;;;
153;2019;2018;;08/10/2019;Itapiranga;Itapiranga;SC;Sim;Sim;;;;;;;;;;;;
111;2019;2018;;26/09/2019;Jaraguá do Sul;Jaraguá do Sul;SC;Sim;Não;;;;;;;;;;;;
216;2019;2018;;22/11/2019;LAURO MULLER;LAURO MULLER;SC;Sim;Não;;;;;;;;;;;;
173;2019;2018;;14/10/2019;Mafra;Mafra;SC;Sim;Não;;;;;;;;;;;;
161;2019;2018;;15/10/2019;Meleiro;Meleiro;SC;Sim;Não;;;;;;;;;;;;
177;2019;2018;;16/10/2019;Monte Castelo;Monte Castelo;SC;Não;Não;;;;;;;;;;;;
166;2019;2018;;11/10/2019;Morro Grande;Morro Grande;SC;Não;Não;;;;;;;;;;;;
190;2019;2018;;23/10/2019;Ouro;Ouro;SC;Sim;Sim;Aterro municipal ;30000;M²;;;Linha Dambrós;;Ouro;SC;;-27.327.502;-51.635.067
132;2019;2018;;19/11/2019;Passos Maia;Passos Maia;SC;Não;Não;;;;;;;;;;;;
208;2019;2018;;11/11/2019;POUSO REDONDO;Pouso Redondo;SC;Não;Não;;;;;;;;;;;;
171;2019;2018;;17/10/2019;Rancho Queimado;Rancho Queimado;SC;Sim;Sim;;;;;;;;;;;;
231;2019;2018;;19/12/2019;Rio das Antas;Rio das Antas;SC;Sim;Sim;;;;;;;;;;;;
139;2019;2018;;14/10/2019;São Bento do Sul;São Bento do Sul;SC;Sim;Sim;Aterro Sanitério;5000;M²;Estrada Banhados;s/n;;Rio Vermelho;São Bento do Sul;SC;;-26.267.027;-49.334.223
116;2019;2018;;02/10/2019;São José do Cedro;São José do Cedro;SC;Sim;Sim;ÁREA - 01;10;HEC;SC - 168;0;INTERIOR;INTERIOR;São José do Cedro;SC;;-26.451.092;-53.532.625
128;2019;2018;;03/10/2019;Saudades;Saudades;SC;Não;Não;;;;;;;;;;;;
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;Sim;Sim;;;;;;;;;;;;
179;2019;2018;;16/10/2019;Xavantina;Xavantina;SC;Sim;Sim;;;;;;;;;;;;
141;2019;2018;;07/10/2019;Xaxim;Xaxim;SC;Não;Não;;;;;;;;;;;;
182;2019;2018;;17/10/2019;QUINTANA;Quintana;SP;Não;Não;;;;;;;;;;;;
65;2019;2018;;17/09/2019;São Caetano do Sul;São Caetano do Sul;SP;Não;Não;;;;;;;;;;;;
156;2019;2018;;08/10/2019;Socorro;Socorro;SP;Sim;Sim;;;;;;;;;;;;
82;2019;2018;;23/09/2019;Abreulândia;Abreulândia;TO;Sim;Não;Área 1 - Favorável para implantação do Aterro Sanitário;10;HEC;Zona rural;s/n;s/c;Zona Rural;Abreulândia;TO;;-9.621.492;49.176.396
82;2019;2018;;23/09/2019;Abreulândia;Abreulândia;TO;Sim;Não;Área 2 - Favorável para Implantação do Aterro Sanitário;10;HEC;Zona Rural;S/n;S/c;Zona rural;Abreulândia;TO;;9.606.875;45.183.090
78;2019;2018;;02/09/2019;ANANÁS;Ananás;TO;Sim;Sim;;;;;;;;;;;;
