Declaração;Ano;Ano Referencia;Data Criação;Data Entrega;Declarante;Município Declarante;UF Declarante;Possui Mecanismos Fonte;Descrição Mecanismo Fonte;Descrição Mecanismo Fonte
204;2019;2018;;17/12/2019;Irará;Irará;BA;Não;;
71;2019;2018;;13/08/2019;IMPERATRIZ;Imperatriz;MA;Não;;
75;2019;2018;;27/08/2019;SÃO LUÍS;São Luís;MA;Não;Incentivos à associações/cooperativas de catadores;"Programa Ecopontos

Realiza a doação dos materiais recicláveis recebidos através dos Ecopontos para entidades de catadores.
"
110;2019;2018;;27/09/2019;Caranaíba;Caranaíba;MG;Não;;
102;2019;2018;;27/09/2019;Casa Grande;Casa Grande;MG;Não;;
91;2019;2018;;01/10/2019;Cordislândia;Cordislândia;MG;Não;;
217;2019;2018;;28/11/2019;Coronel Xavier Chaves;Coronel Xavier Chaves;MG;Não;;
112;2019;2018;;27/09/2019;Cristiano Otoni;Cristiano Otoni;MG;Não;;
108;2019;2018;;27/09/2019;Queluzito;Queluzito;MG;Não;;
109;2019;2018;;25/09/2019;Guarabira;Guarabira;PB;Não;;
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;Sim;Incentivos à associações/cooperativas de catadores;Repasse de recicláveis para cooperativas de catadores
194;2019;2018;;30/12/2019;Niterói;Niterói;RJ;Sim;Outros;"Biodigestor
"
235;2019;2018;;26/12/2019;Petrópolis;Petrópolis;RJ;Sim;Incentivos à associações/cooperativas de catadores;DOAÇÃO DE TODO MATERIAL COLETADO NA COLETA SELETIVA E INFRAESTRUTURA  PARA AS COOPERATIVAS ATUAREM.
227;2019;2018;;19/12/2019;São Fidélis;São Fidélis;RJ;Não;;
86;2019;2018;;19/09/2019;Ibirubá;Ibirubá;RS;Sim;Incentivos à associações/cooperativas de catadores;ASSOCIAÇÃO DE CATADORES CIDADANIA SUSTENTÁVEL
224;2019;2018;;09/12/2019;Ascurra;Ascurra;SC;Não;;
238;2019;2018;;28/12/2019;Balneário Piçarras;Balneário Piçarras;SC;Não;;
176;2019;2018;;30/10/2019;BLUMENAU;Blumenau;SC;Sim;Incentivos à associações/cooperativas de catadores;Cooperreciblu - Cooperativa de Catadores de materiais recicláveis, todo material coletado no município de Blumenau é destinado a comercialização e renda à cooperativa. 
149;2019;2018;;06/11/2019;Bom Retiro;Bom Retiro;SC;Não;;
187;2019;2018;;30/10/2019;Brunópolis;Brunópolis;SC;Não;;
124;2019;2018;;03/10/2019;Chapecó;Chapecó;SC;Não;;
229;2019;2018;;17/12/2019;Doutor Pedrinho;Doutor Pedrinho;SC;Não;;
150;2019;2018;;15/10/2019;Galvão;Galvão;SC;Não;;
119;2019;2018;;15/10/2019;Garuva;Garuva;SC;Não;;
199;2019;2018;;18/12/2019;Gaspar;Gaspar;SC;Não;;
145;2019;2018;;05/12/2019;Guabiruba;Guabiruba;SC;Não;;
115;2019;2018;;15/10/2019;Ibicaré;Ibicaré;SC;Não;;
120;2019;2018;;05/11/2019;Irineópolis;Irineópolis;SC;Sim;Incentivos à associações/cooperativas de catadores;Todo o volume de resíduos sólidos é enviado para uma Unidade de Triagem e Compostagem, que, coordenada pela Associação dos Catadores Bom Jesus, faz a triagem, vende os recicláveis e faz a compostagem e vende o adubo.
153;2019;2018;;08/10/2019;Itapiranga;Itapiranga;SC;Não;;
111;2019;2018;;26/09/2019;Jaraguá do Sul;Jaraguá do Sul;SC;Sim;Incentivos à associações/cooperativas de catadores;As cooperativas credenciadas com o Municipio recebem gratuitamente os materiais coletados com a coleta seletiva, fazem a triagem, e se mantém com a renda obtida com a venda dos mateirais.
216;2019;2018;;22/11/2019;LAURO MULLER;LAURO MULLER;SC;Não;;
173;2019;2018;;14/10/2019;Mafra;Mafra;SC;Sim;Incentivos à associações/cooperativas de catadores;Lei Ordinária 4202/2016
161;2019;2018;;15/10/2019;Meleiro;Meleiro;SC;Não;;
177;2019;2018;;16/10/2019;Monte Castelo;Monte Castelo;SC;Não;;
166;2019;2018;;11/10/2019;Morro Grande;Morro Grande;SC;Não;;
190;2019;2018;;23/10/2019;Ouro;Ouro;SC;Não;;
132;2019;2018;;19/11/2019;Passos Maia;Passos Maia;SC;Não;;
208;2019;2018;;11/11/2019;POUSO REDONDO;Pouso Redondo;SC;Não;;
171;2019;2018;;17/10/2019;Rancho Queimado;Rancho Queimado;SC;Não;;
231;2019;2018;;19/12/2019;Rio das Antas;Rio das Antas;SC;Não;;
139;2019;2018;;14/10/2019;São Bento do Sul;São Bento do Sul;SC;Sim;Incentivos à associações/cooperativas de catadores;Toda a coleta seletiva é destinada à cooperativa do município.
116;2019;2018;;02/10/2019;São José do Cedro;São José do Cedro;SC;Não;;
128;2019;2018;;03/10/2019;Saudades;Saudades;SC;Não;;
146;2019;2018;;07/10/2019;Timbó;Timbó;SC;Não;;
179;2019;2018;;16/10/2019;Xavantina;Xavantina;SC;Não;;
141;2019;2018;;07/10/2019;Xaxim;Xaxim;SC;Não;;
182;2019;2018;;17/10/2019;QUINTANA;Quintana;SP;Não;;
65;2019;2018;;17/09/2019;São Caetano do Sul;São Caetano do Sul;SP;Sim;Incentivos à associações/cooperativas de catadores;Contratação de cooperativa de catadores para a triagem e comercialização dos Resíduos Recicláveis gerados no Município.
156;2019;2018;;08/10/2019;Socorro;Socorro;SP;Sim;Incentivos à associações/cooperativas de catadores;
82;2019;2018;;23/09/2019;Abreulândia;Abreulândia;TO;Não;;
78;2019;2018;;02/09/2019;ANANÁS;Ananás;TO;Não;;
